title,rank,date,artist,url,region,chart,trend,streams
Llamame Mas Temprano,28,2017-01-01,Mano Arriba,https://open.spotify.com/track/5aHJug2wnupoGfgfxRudsk,Argentina,top200,MOVE_UP,69382.0
Starboy,29,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,Argentina,top200,SAME_POSITION,65518.0
Manicomio,30,2017-01-01,Cosculluela,https://open.spotify.com/track/3n58u3LOFw8mITLvfPvQBz,Argentina,top200,MOVE_DOWN,64998.0
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",31,2017-01-01,Maluma,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,Argentina,top200,MOVE_DOWN,64907.0
Don't Wanna Know,32,2017-01-01,"Maroon 5, Kendrick Lamar",https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,Argentina,top200,MOVE_DOWN,61714.0
Sin Contrato (feat. Don Omar & Wisin) - Remix,33,2017-01-01,Maluma,https://open.spotify.com/track/2xNZeeqmwMPVKnD7FSQfgt,Argentina,top200,MOVE_UP,59903.0
24K Magic,34,2017-01-01,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Argentina,top200,MOVE_DOWN,58801.0
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",35,2017-01-01,Justin Timberlake,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,Argentina,top200,MOVE_UP,56170.0
Fuego,36,2017-01-01,Juanes,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ,Argentina,top200,MOVE_UP,55902.0
Bobo,37,2017-01-01,J Balvin,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6,Argentina,top200,MOVE_UP,55360.0
In the Name of Love,38,2017-01-01,"Martin Garrix, Bebe Rexha",https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,Argentina,top200,MOVE_DOWN,54980.0
Tu Ritmo,39,2017-01-01,Los Bonnitos,https://open.spotify.com/track/0BFgCEE7ozbyB1PpLpLyhM,Argentina,top200,MOVE_UP,54081.0
I Took A Pill In Ibiza - Seeb Remix,40,2017-01-01,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,Argentina,top200,MOVE_DOWN,53270.0
Ya Me Enteré (feat. Nicky Jam) - Urban Version,41,2017-01-01,Reik,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F,Argentina,top200,MOVE_DOWN,52907.0
No Quiere Enamorarse (Remix) [feat. Daddy Yankee],42,2017-01-01,Ozuna,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC,Argentina,top200,MOVE_DOWN,52670.0
Te Quiero Pa´Mi,43,2017-01-01,"Don Omar, Zion & Lennox",https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz,Argentina,top200,MOVE_DOWN,51352.0
Sin Contrato (feat. Fifth Harmony),44,2017-01-01,Maluma,https://open.spotify.com/track/09S64DUkxIX9EwIaULu6yN,Argentina,top200,MOVE_UP,51115.0
Picky,45,2017-01-01,Joey Montana,https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx,Argentina,top200,MOVE_UP,51113.0
